id,gender,race,appointed_date,rank,birth_year,complaint_percentile
18333,M,White,1998-05-26,Police Officer,1968,90.4780
21775,M,White,2002-09-30,Police Officer,1974,80.4287
23412,M,Hispanic,2001-05-29,Sergeant,1976,54.9196
11191,M,White,1999-09-13,Police Officer,1953,28.4055
15071,M,White,2006-11-27,Police Officer,1978,76.2256
12495,M,White,2005-12-05,Police Officer,1981,98.8995
30854,F,Black,2015-06-29,Police Officer,1986,96.0376
12057,M,Hispanic,2010-09-01,Police Officer,1982,87.0123
7016,M,White,1987-03-09,Detective,1960,86.1297
27886,M,White,1999-06-21,Police Officer,1973,73.1879
1172,M,White,1994-09-06,Police Officer,1970,97.8602
4954,F,Black,1992-01-02,Police Officer,1965,43.3228
18749,M,Hispanic,1998-06-08,Police Officer,1971,43.7966
22113,M,White,1993-12-13,Police Officer,1966,24.0877
24674,M,White,2001-06-25,Police Officer,1970,83.9632
9891,F,White,1995-07-10,Police Officer,1971,43.9838
3821,M,Hispanic,1991-12-16,Police Officer,1956,91.0435
25718,M,White,2012-10-31,Police Officer,1985,75.6677
22588,M,White,1992-01-02,Captain,1969,26.8962
12731,F,White,1991-06-19,Sergeant,1961,38.2370
22074,M,Hispanic,1999-10-04,Sergeant,1973,84.2306
24105,M,Hispanic,2013-02-19,Police Officer,1974,64.1206
6700,M,Hispanic,2002-04-29,Police Officer,1967,66.6921
9103,M,White,1996-12-02,Police Officer,1970,41.1524
17999,F,Black,2013-06-03,Police Officer,1986,67.3952
14086,M,White,1995-09-05,Lieutenant,1969,94.2188
1720,M,White,2002-04-29,Sergeant,1978,24.9895
32084,M,White,2001-06-25,Police Officer,1962,95.2505
449,M,Hispanic,2015-02-23,Police Officer,1983,72.1791
10084,M,White,2012-10-31,Police Officer,1989,60.8613
31542,M,Hispanic,2001-12-17,Police Officer,1974,44.7824
9266,M,Black,1995-06-05,Police Officer,1970,52.0271
9062,M,White,1998-09-28,Police Officer,1968,96.5649
6681,M,Hispanic,2012-10-31,Police Officer,1981,75.6677
3150,F,White,1995-09-05,Detective,1968,89.7749
3498,M,White,1992-01-02,Sergeant,1963,91.0664
8221,F,White,1995-07-10,Police Officer,1972,59.3290
30119,M,Black,1999-10-25,Police Officer,1972,76.5580
9238,M,Hispanic,1998-12-14,Police Officer,1964,96.1217
30684,M,Black,1994-07-05,Sergeant,1968,71.5754
9986,M,White,2007-07-09,Detective,1984,87.6122
12509,M,Black,1997-07-07,Police Officer,1963,63.3487
10518,M,Hispanic,2006-01-23,Police Officer,1978,29.7428
26062,M,Black,1994-12-05,Police Officer,1963,92.2662
8790,M,Asian/Pacific,2005-08-29,Police Officer,1978,88.7929
16920,M,White,2009-03-09,Sergeant,1982,94.6124
16411,M,Black,2001-07-30,Police Officer,1969,68.6294
193,F,Hispanic,2013-11-25,Police Officer,1985,73.4324
3045,M,White,2013-04-01,Police Officer,1980,65.5649
29581,M,White,2008-04-28,Police Officer,1980,87.5779
