id,gender,race,appointed_date,rank,birth_year,complaint_percentile
23587,M,White,1971-07-26,Detective,1949,23.5300
23016,M,White,1999-08-02,Police Officer,1955,59.9633
7399,M,White,1956-05-16,Police Officer,1928,
23412,M,Hispanic,2001-05-29,Sergeant,1976,54.9196
22042,M,White,1973-03-19,Lieutenant,1949,23.2109
25318,M,Hispanic,2013-03-05,Police Officer,1985,78.9958
17682,M,Black,1968-10-14,Police Officer,1944,66.7916
28480,M,Black,1980-09-29,Police Officer,1948,76.2169
32321,M,Hispanic,1999-07-12,Police Officer,1970,59.8334
4267,M,Black,1982-06-14,Police Officer,1947,28.8042
1294,M,White,1980-06-23,Police Officer,1943,29.2580
3821,M,Hispanic,1991-12-16,Police Officer,1956,91.0435
25718,M,White,2012-10-31,Police Officer,1985,75.6677
20126,M,White,1966-06-20,Police Officer,1938,49.4237
19707,F,White,1981-06-08,Police Officer,1947,33.1528
3314,M,White,2000-01-24,Police Officer,1973,83.3007
13779,F,Black,2000-02-28,Police Officer,1966,46.9031
15112,M,White,1967-01-09,Sergeant,1946,73.9521
19905,M,White,1956-10-01,"",1925,
27101,M,White,1995-10-23,Police Officer,1968,92.5223
30455,M,White,1971-06-14,Lieutenant,1946,36.7339
9455,F,Hispanic,1991-02-27,Police Officer,1957,22.7122
6726,M,White,1995-02-06,Police Officer,1969,76.6574
25775,M,White,1956-05-16,Police Officer,1932,
10084,M,White,2012-10-31,Police Officer,1989,60.8613
18495,M,White,1985-09-09,Police Officer,1957,43.6004
29072,F,White,1996-11-04,Sergeant,1971,87.4709
28593,F,Black,2002-08-05,Police Officer,1969,49.8391
12468,M,Black,1970-01-19,Lieutenant,1938,46.4085
1528,F,White,1986-02-03,Police Officer,1957,56.4525
7221,M,Black,1987-12-07,Police Officer,1960,84.3381
9238,M,Hispanic,1998-12-14,Police Officer,1964,96.1217
17715,F,Hispanic,1996-12-02,Police Officer,1969,65.4579
27379,M,Black,1977-11-01,First Deputy Superintendent,1950,37.6275
17902,M,White,1959-12-16,Sergeant,1936,0.0000
6050,M,White,1985-03-04,Detective,1955,36.9142
20988,M,White,1966-05-09,Police Officer,1943,54.4847
8790,M,Asian/Pacific,2005-08-29,Police Officer,1978,88.7929
16920,M,White,2009-03-09,Sergeant,1982,94.6124
27195,M,White,1957-07-01,Police Officer,1935,
29581,M,White,2008-04-28,Police Officer,1980,87.5779
262,M,Hispanic,2003-02-24,Police Officer,1976,94.1462
14602,M,White,2001-02-05,Police Officer,1969,76.8064
3201,M,Hispanic,1999-05-10,Police Officer,1973,50.4146
27246,M,White,1968-03-11,Police Officer,1944,26.3598
24323,F,White,1997-03-17,Police Officer,1956,31.1987
14778,M,White,1995-02-06,Detective,1963,38.3058
19710,M,White,2002-12-02,Police Officer,1979,87.1886
23654,M,Black,1977-11-01,Police Officer,1946,42.6589
17276,M,White,1966-08-29,Police Officer,1946,85.0697
19568,M,White,1972-11-20,Police Officer,1947,16.3667
19890,F,White,1987-12-07,Sergeant,1962,51.4692
30985,F,Black,1991-02-27,Police Officer,1955,40.8609
29655,M,White,1968-03-11,Police Officer,1944,26.0980
23779,M,Hispanic,1970-06-15,Police Officer,1941,24.1797
23729,M,White,2007-09-24,Field Training Officer,1973,44.5646
8443,M,White,2004-09-27,Police Officer,1979,69.1720
24541,M,Black,1996-07-08,Police Officer,1954,70.2380
24353,M,Hispanic,2003-02-24,Police Officer,1975,78.8315
5343,M,White,1997-07-07,Police Officer,1967,63.3487
16246,M,White,1999-11-29,Detective,1968,82.8360
4961,M,White,1995-01-03,Detective,1965,95.2275
21772,F,White,2006-11-27,Police Officer,1970,21.2946
7252,M,Black,2001-02-05,Police Officer,1964,63.6621
3661,M,Hispanic,2002-04-29,Police Officer,1962,68.3043
5173,F,White,1986-06-16,Sergeant,1961,45.7147
19772,M,White,1972-02-01,Police Officer,1950,
13758,M,Black,1987-03-09,Police Officer,1954,91.8364
22876,M,Black,1999-05-10,Police Officer,1973,39.5743
30186,M,Black,1989-02-14,Police Officer,1963,74.5549
32327,M,White,2010-09-01,Police Officer,1985,58.5801
20247,M,White,1971-02-22,Police Officer,1949,18.8564
24109,M,Hispanic,2001-06-25,Police Officer,1976,74.8997
29141,F,Black,1985-12-16,Police Officer,1946,64.5438
21132,F,White,1986-10-13,Police Officer,1962,18.1616
19417,M,White,1972-10-23,Police Officer,1942,20.2469
17534,M,Black,1980-02-11,Police Officer,1954,76.6405
1124,M,White,1972-10-23,Police Officer,1945,44.8803
19389,M,Hispanic,1987-04-13,Field Training Officer,1956,64.3155
5131,M,White,1997-05-05,Police Officer,1967,90.0310
4810,M,White,1986-07-14,Police Officer,1961,35.2260
28812,M,White,1995-09-05,Police Officer,1973,77.6203
25790,M,White,1973-10-22,Police Officer,1951,70.4106
17103,M,White,1994-07-05,Police Officer,1970,91.8918
110,M,Black,1970-06-15,Police Officer,1941,71.4620
26873,M,Black,1980-02-11,Police Officer,1942,73.8347
1918,M,White,1968-05-13,Police Officer,1948,61.6684
7887,F,Black,1977-04-04,Police Officer,1951,22.7685
