officer_id,count
11233,2
29007,4
5468,6
31789,57
20549,2
23000,7
26770,26
9038,62
25886,6
4321,2
176,10
576,29
28031,58
6373,15
23154,2
292,65
23851,12
32144,21
17573,20
1552,10
27996,3
31209,7
23393,22
10792,11
1373,13
2204,6
1268,7
32429,26
27596,8
161,44
26100,13
8057,14
25110,1
25574,10
1595,1
12251,6
31761,188
8869,12
8873,5
11158,15
12629,12
22029,8
4452,2
19073,8
30399,2
6861,49
5644,15
17697,5
30263,9
31204,6
6258,2
6775,1
21274,15
10431,15
24784,48
14205,6
5436,13
23241,15
15945,13
19626,5
9362,32
7064,8
9491,10
15177,19
19608,9
31019,18
17968,2
28729,49
24703,83
20961,9
2773,5
18246,8
32165,57
20967,42
12870,21
30210,10
4754,40
8548,34
14747,15
31429,23
23735,6
26368,4
1006,2
6084,13
13184,8
19331,28
23826,1
18379,8
30214,17
10385,72
18751,3
24348,22
13831,6
528,1
7154,92
12045,19
12464,23
1613,2
667,65
22759,25
16267,30
27214,17
16858,15
13030,16
11359,13
9890,4
31483,69
29554,37
20513,3
4893,1
23710,41
30256,10
27128,10
20252,30
13094,4
7691,25
11152,38
18487,3
16208,8
26961,2
3882,30
7184,10
6495,6
20020,2
28218,9
25587,3
23636,1
6091,11
32246,53
13445,4
9413,40
11265,8
7711,6
25546,1
7520,1
19246,7
10042,5
3890,1
4702,12
20639,5
10574,89
32161,43
22503,10
32107,65
524,1
8624,93
27153,6
16277,54
17265,2
22932,7
6723,4
24572,144
19224,2
30169,3
10064,2
18894,43
28555,45
360,13
24442,3
18142,3
9924,16
9626,19
5049,31
32522,5
21917,5
1238,2
17631,2
28057,27
24093,17
25639,2
11373,93
29788,39
8943,2
8400,36
32250,5
3495,96
18278,4
23209,25
384,4
16494,48
5100,30
30766,8
28051,33
9334,10
20789,7
24615,53
7982,66
14291,6
31802,114
32228,31
13645,6
20030,68
12389,3
21831,13
14115,1
21571,138
6228,6
12756,50
21512,72
22390,8
30667,10
28380,6
1928,21
22957,32
21903,55
10784,9
188,33
10410,17
4232,1
2155,2
26292,15
31035,10
24162,8
17729,6
703,13
21814,4
11126,5
32418,15
7545,18
6447,16
30747,43
14328,6
22321,23
12424,11
23966,15
14653,4
18743,69
25344,6
22396,52
1429,19
807,1
6616,20
14724,1
2227,22
2865,28
12824,29
12311,4
444,10
13417,30
6028,2
31214,17
32048,47
4106,19
7798,13
13850,15
13690,23
9142,6
3876,58
6726,34
10166,44
22601,3
20274,96
6249,3
10763,2
26330,1
13293,30
23591,13
8264,4
9083,20
13846,2
27835,13
16871,14
9808,156
25615,6
8661,22
16468,17
16925,28
21910,35
29397,4
5903,35
21801,7
3772,5
2354,6
5801,8
9624,3
9738,1
12642,10
28923,6
1693,34
8815,20
21458,53
10721,6
12350,2
7613,17
28879,100
27993,25
12673,3
6844,48
9984,33
8600,9
27017,19
25275,15
3654,12
6395,51
23933,95
14117,1
26183,36
15510,2
21306,4
24140,7
20626,15
15588,10
23279,36
26645,2
8803,9
15012,1
11805,14
23617,32
25480,2
1941,4
20927,8
3019,10
15161,16
18928,5
21060,22
2278,23
4335,7
1159,2
5040,11
10480,6
725,1
32520,5
17422,14
31363,99
14412,14
7739,41
3751,2
9631,4
5536,2
2242,3
14522,5
11273,106
11284,8
16485,31
21191,12
14229,4
27292,1
13314,112
1305,29
30947,10
7501,21
7122,39
8832,4
21053,1
18667,45
13633,21
19222,2
11130,21
22513,24
31510,2
13335,30
18721,25
21090,2
12748,2
5413,49
19254,7
26464,1
32209,45
19119,24
8805,34
28707,63
13468,14
5596,6
30968,28
20385,28
6597,4
19377,123
4262,121
2120,34
6441,5
27658,17
17059,6
15078,7
17752,45
12506,52
28178,92
27467,13
7199,29
15225,22
32270,19
13805,25
9014,28
30003,38
3823,49
15786,10
21546,23
11473,2
23889,5
30430,25
30119,27
22863,8
28722,20
15739,32
22418,15
25147,40
21271,7
27909,7
27248,1
9297,39
18412,27
31432,72
12942,5
26553,13
31049,2
8902,48
849,2
13996,202
9188,40
25477,2
29308,7
25039,111
25190,2
4347,70
19389,26
6874,1
22500,24
20889,121
7335,6
8919,5
2403,68
22562,23
5547,25
5780,34
11091,28
2592,49
27927,55
22243,1
29066,15
15146,7
32188,17
10329,17
9694,89
29505,28
21956,9
28050,4
1789,37
19072,7
9471,21
21235,2
20757,11
8220,35
9146,15
9112,1
20268,8
29,22
22239,2
844,6
19647,23
6146,99
6,2
30665,3
6884,2
13597,205
28797,64
13851,21
14461,5
17163,9
1650,20
19968,3
6628,6
11211,4
29037,1
458,1
6896,20
16582,27
368,10
4369,29
2167,4
28115,4
11904,87
5405,6
21683,5
14375,4
6645,65
16967,33
32162,50
6658,13
28375,17
30171,39
29545,57
21867,21
24061,12
22616,2
8698,34
5184,1
4714,15
16881,44
1601,8
5846,1
9439,15
1654,6
28183,3
26237,3
8354,1
3906,152
13898,9
4137,55
31808,27
28593,10
5506,34
24985,28
7254,2
4588,27
12943,13
19483,6
12504,3
16930,32
27421,68
4010,2
13172,2
28756,77
1063,213
22117,1
28557,8
26176,16
3587,7
8680,1
15488,13
1445,13
25439,14
12194,17
15240,3
12217,18
2233,50
5509,57
23706,15
31514,9
27555,15
22083,24
13310,10
29683,127
25061,56
4438,31
8928,8
9234,17
16596,6
15530,6
24719,27
23564,1
30759,4
24104,26
3315,15
22141,18
31302,11
24367,32
1732,3
56,53
8257,20
23139,26
18554,43
11376,53
245,2
30358,1
16552,6
6313,23
2670,14
19108,20
10213,54
144,25
7981,55
168,30
1224,47
25421,35
13433,2
21281,2
4938,3
30359,6
5699,8
31002,35
22483,1
8042,2
3084,1
7804,1
11090,40
16721,40
20240,3
24116,45
3763,83
29263,4
1035,1
25031,2
29009,5
247,21
11193,14
25962,2
15624,11
20592,5
22262,26
17196,12
25056,4
12048,54
21325,115
9767,14
7558,1
26598,1
27152,7
24905,202
26822,36
16391,21
1526,7
5459,2
21196,6
13780,30
4994,10
1531,11
14866,24
8082,125
24666,2
1274,5
12500,36
13202,7
22752,1
7055,4
4441,1
32395,21
6181,14
15392,1
27087,9
21127,27
8935,24
1759,15
941,4
16440,30
25685,53
135,100
17191,13
2795,2
18230,7
5137,19
15524,16
17198,2
2495,1
2946,7
1031,14
8410,51
1670,7
29722,47
15837,79
3914,5
11019,34
5552,4
11240,1
10426,10
23724,94
21547,1
7267,20
6069,6
28106,2
13306,66
1516,19
28575,21
21500,14
9383,3
10464,48
24752,2
8836,18
9556,21
19506,12
14767,10
804,3
16366,1
15183,7
12028,20
26213,1
24596,72
11347,237
9474,8
2262,15
21930,55
4895,86
10445,32
19060,52
24954,15
28781,4
339,131
12940,6
20378,3
14799,12
7865,31
19303,8
21430,6
10310,3
8747,29
32044,19
26995,37
11274,1
12556,42
28940,1
30845,20
17870,26
20,16
30229,126
9557,75
4866,61
13540,13
24238,10
24789,5
31463,6
29475,23
3468,8
12760,10
26199,86
31726,6
18520,120
13405,2
18313,10
5217,1
24444,12
11115,32
32160,27
24812,14
22974,25
17094,10
14023,1
18769,1
21623,14
23936,2
2408,1
26842,10
24519,4
29817,28
29841,18
14000,38
4876,6
7033,6
31627,13
26479,1
20139,8
22823,2
13191,4
21719,4
22542,19
6938,14
29611,14
15518,35
21935,75
8095,4
30479,12
27779,6
11021,131
12949,28
7567,18
21424,2
5768,10
10432,48
2203,22
20673,12
25104,2
25069,12
10760,61
31044,14
17364,39
6529,24
11975,2
31969,8
20016,4
12272,14
23173,2
12555,5
30852,4
22885,14
30537,65
25747,4
32297,96
28906,6
22038,34
18772,6
28070,94
666,10
9479,39
1655,11
29265,37
10656,34
13985,22
22785,10
25079,11
17371,17
21740,4
7762,5
15180,3
22834,21
26550,4
10595,4
20924,16
20382,4
5454,28
19667,21
13794,6
29280,7
7703,18
3491,64
7331,10
30817,26
6573,1
19053,40
15422,1
19484,6
5940,5
24770,12
25022,13
11963,6
1989,110
18752,18
10294,20
539,18
11177,21
278,5
10168,23
14619,46
21628,15
2331,4
27044,2
8126,6
5818,50
30849,10
14926,14
18547,2
26169,6
5484,9
5910,137
15050,163
19762,77
3020,27
12860,18
21234,77
24927,13
25909,19
9256,1
15351,17
28181,1
15863,21
25091,13
13926,14
17602,43
14692,4
25580,12
2385,5
14614,6
22193,6
24674,49
27870,3
5383,13
20986,10
1682,2
18920,15
13151,26
8096,1
5255,15
25002,1
13878,13
10494,10
12011,31
11709,10
24809,5
16432,2
17997,12
23415,32
29690,1
9893,4
30619,52
12552,20
7617,10
25196,57
25539,2
15387,1
2553,9
27377,10
9660,4
6174,127
19056,2
26036,1
10373,12
16173,39
18946,5
19542,4
29473,6
18240,9
13594,1
27337,7
17182,25
20188,6
16371,31
19307,6
13877,62
5480,1
9045,51
12286,3
11522,45
20762,6
7489,37
20444,4
13980,36
28400,5
8992,23
16062,56
4931,34
12471,3
31490,10
12902,3
10941,12
21330,30
24665,35
12494,7
1049,29
12273,57
27929,65
30123,13
23690,47
14094,18
164,62
4104,6
15810,4
21415,206
9817,13
18763,50
17575,4
10990,4
12623,32
11652,5
27759,15
31680,10
2220,2
12533,4
2829,68
1845,5
7255,49
29922,5
28952,4
16842,8
17734,73
14250,1
31672,4
10246,51
8333,40
1546,2
15403,39
30563,12
1816,1
9363,41
27829,99
27917,2
29147,112
6817,7
2452,23
26605,1
1458,11
18116,1
21687,3
7736,34
14516,74
17713,1
5921,4
7028,26
14370,57
26007,21
3112,11
3404,23
7604,44
13166,45
25938,27
12249,7
14238,2
13623,17
4215,44
8051,3
9066,21
20850,2
30525,73
21534,27
10295,34
14873,10
23758,64
20439,19
26093,8
7239,5
27794,14
13467,19
29331,50
20132,7
7120,2
20422,3
13892,17
17142,66
22755,1
15261,3
4411,111
407,7
5573,7
20628,30
39,30
5319,2
28644,5
12024,66
4900,53
28086,69
2977,31
10287,1
10866,5
17117,60
3666,15
10987,1
32319,80
15476,2
24160,6
18354,25
2726,2
2281,3
14073,3
6336,8
31012,70
12184,25
15487,48
15834,18
10766,4
4149,29
3525,1
30308,6
18550,64
32370,62
5394,14
22427,23
6585,51
13565,4
16526,15
16209,7
10092,3
20112,45
7278,1
22274,15
15361,6
12443,13
1808,149
19844,24
23632,6
20562,5
26043,10
27317,1
21149,139
23580,54
20089,40
12647,12
29438,39
20257,22
29538,177
10921,1
14814,65
24448,10
1977,42
30983,31
9728,6
11641,63
14867,2
9366,1
22333,7
18084,50
13745,19
14101,53
6434,18
16977,8
23537,147
180,2
2193,24
20080,14
21054,1
8131,4
24401,25
12805,3
21937,88
1571,47
25597,6
13110,14
23032,20
4830,39
505,31
15058,13
3996,29
9430,62
30778,8
30266,9
27068,4
26787,13
30166,17
9684,6
13286,11
21632,97
1015,5
14049,3
7329,46
25906,4
24689,17
11661,3
28224,2
14616,43
5494,65
12302,4
22941,15
1077,6
18638,6
21378,3
13213,3
21276,1
24906,6
14540,2
11063,5
3420,56
23381,16
21091,5
17476,3
27224,19
23170,1
12303,36
11067,14
17800,13
12380,102
3304,2
9042,68
4352,64
14369,95
25875,8
14628,18
9055,16
23661,20
30789,10
28787,13
28884,2
25152,4
16100,1
4796,16
9965,10
8582,8
7031,1
4863,11
28190,5
17348,7
32515,4
14859,51
3933,4
13028,42
7768,17
20323,2
20463,21
15101,7
13909,179
5057,48
29042,24
25266,18
3961,22
30748,23
18588,123
9266,15
24084,12
15233,2
16757,8
1395,5
29932,6
21532,5
23722,35
6012,11
20972,42
2830,4
916,40
3215,8
114,18
12356,3
5767,39
27473,41
14297,32
754,26
11458,5
29048,8
8278,2
21399,10
7705,2
29774,13
14805,10
2476,27
7049,3
8633,12
10515,21
22689,29
25693,3
32201,8
20917,4
27989,12
31836,19
14742,1
14943,59
29295,3
20397,4
12460,72
8771,9
29568,4
37,9
14790,48
30164,13
7306,10
1962,6
2935,12
29253,6
31700,1
831,11
18717,18
6145,267
9088,30
4578,6
26543,2
23759,44
28572,15
4698,56
23203,3
22641,21
29536,5
9529,4
36,2
1802,22
30155,20
31936,107
2558,16
25901,9
6444,6
9326,4
22904,24
8787,47
11206,2
28334,3
27565,6
4914,1
9295,31
18189,10
30354,2
10960,46
9778,14
28313,6
5489,35
25197,44
6718,3
17127,54
6689,87
3746,2
27582,94
25675,24
7462,94
18267,14
8597,15
21643,1
7500,5
30296,1
26049,1
24036,17
6673,64
3443,3
7149,1
4804,6
21132,11
29198,28
22121,1
15153,5
1478,2
2723,39
5550,10
190,49
867,55
11807,12
4304,2
6598,66
13424,41
15194,39
6507,1
670,37
15062,4
5882,1
10614,7
25054,2
25976,52
21563,25
28600,1
16640,7
17429,7
30167,27
2463,180
2392,42
28103,5
3868,13
21862,17
24201,1
22767,1
32425,118
18223,4
4708,13
2523,13
16540,15
257,25
9440,15
30191,2
30893,113
9698,23
22747,13
2300,14
11464,33
18788,2
23567,6
30276,15
12310,25
10565,24
19641,6
25879,3
17294,1
3770,6
15035,12
14545,5
26227,1
6394,15
1501,5
6245,3
17613,202
3206,1
29795,53
27968,10
2071,52
1464,59
30316,2
17688,10
8703,15
10436,27
10149,5
32516,1
6537,2
26303,2
19039,11
15564,1
2176,10
6428,7
31326,5
19743,10
25225,4
32305,58
12117,5
20273,109
28890,37
18173,14
17336,61
25641,7
30969,12
23320,24
7998,64
24280,5
3164,17
16438,46
12016,8
9579,134
24794,1
26688,89
22631,3
13724,12
3338,24
20958,4
23975,9
30424,7
6873,28
9658,3
2011,17
29994,5
10047,2
27593,19
21960,18
14296,14
29787,1
8958,32
21068,78
25282,2
5095,6
16482,179
28979,6
23092,13
21374,4
16196,2
22536,21
28240,13
557,24
28573,10
14534,65
15683,13
23918,7
22190,37
26621,26
19057,10
27014,7
25476,3
32157,31
16556,22
13339,5
19732,8
31737,82
13579,15
29356,23
31602,17
1376,11
3435,7
25449,6
6666,81
28609,24
21573,6
15036,8
6513,2
24654,3
14536,41
6427,14
31312,12
19959,6
31307,121
22451,13
7632,13
20403,2
28105,23
12378,43
25077,26
31663,8
8431,21
20991,5
30427,6
8092,5
13044,3
28327,3
13374,22
28435,3
14527,4
12179,12
11780,81
29213,1
32067,57
6759,18
6082,2
2838,4
30426,11
13076,2
24776,12
13952,1
17644,1
26600,48
1794,14
21376,41
31498,38
3723,44
3496,8
8411,3
29347,90
16189,6
24274,9
10003,14
2898,8
31804,13
22493,58
3661,2
29537,13
31234,25
7205,163
31494,9
21444,20
3381,3
12990,5
7382,70
5476,3
12815,5
23341,15
12514,15
24083,3
27345,4
1412,4
31926,104
26897,2
6026,66
28207,32
23428,24
13576,76
30928,13
11710,6
1350,60
21684,84
10418,10
24262,6
4422,3
2964,8
8017,3
17860,9
21162,23
28420,4
27960,7
10966,29
887,188
3265,8
18302,4
8129,2
19631,13
18709,29
28643,143
1797,106
18830,62
10786,2
5861,3
541,17
31886,51
24246,11
13373,6
30435,1
665,22
16327,6
26403,37
15760,5
26978,20
22507,15
4431,6
14883,14
5901,6
875,3
30501,51
23604,26
17466,4
25910,5
18968,47
6543,24
1322,6
27506,6
16321,14
28294,2
21833,2
8024,103
25323,72
19184,10
19422,30
12776,5
61,50
16442,9
6170,9
15649,4
30848,6
2122,2
3278,12
9324,119
9173,1
19205,13
3123,1
4195,1
30507,48
23855,4
30712,2
11917,10
3114,21
27383,17
22303,1
17291,51
24530,1
3049,5
18161,18
13369,15
8875,5
19872,22
22199,8
31346,46
9997,27
29581,83
22512,17
18386,6
15733,1
27895,12
6604,43
16669,9
17920,1
2004,8
11603,11
14,7
22002,8
9218,6
5010,7
2248,30
25870,15
14709,62
6317,16
27213,14
26886,6
8409,79
22362,6
20300,95
25171,8
25045,23
30134,3
17024,24
15296,96
6940,13
17642,4
4503,4
8069,16
27358,55
27171,22
6357,1
25103,3
26152,13
32198,43
3684,26
29381,4
28796,3
6494,22
16385,223
26402,7
20312,2
8931,19
11990,1
15368,42
8791,4
22131,8
4983,14
15018,59
19794,212
23829,12
20391,1
16508,111
14276,1
24295,5
29282,48
9333,22
25648,2
32436,51
3423,1
3060,2
751,4
